Int Overflow,8,7,8,7,8,2
iSkylash,7,7,5,5,5,2
JakeyIsCanadian,6,4,5,6,6,1
AvocadoAvocado,6,5,5,4,5,2
Dragon Stormz,5,6,5,4,4,2
Dee See,4,5,4,4,5,2
JellyKidJam,5,4,5,5,4,1
beef tenderloin,4,5,5,3,5,1
BamBamPandaBoi,4,4,4,4,4,1
Chaaos,5,3,4,3,5,1
70IQ,4,4,4,2,3,3
Suntuze,4,4,4,4,4,0
Derpcheese69,5,4,3,3,3,1
meltthesnow,3,2,4,3,4,2
Skyumvi,3,2,4,3,4,1
Maruuko,3,3,3,3,3,1
stopvixky,3,3,3,2,3,1
kikiluvv,2,1,3,3,4,1
talons gf,2,3,2,2,4,1
luneaic,2,1,3,2,3,2
oyeeh,1,0,2,1,2,0
honeydewkeki,0,0,0,1,0,0
av, 4, 4, 4, 4, 4, 1
